Baslik,Bellek,Disk.HDD,Disk.SSD,Ekran Boyutu,Fiyat,Foto,Islemci,Isletim Sistemi,Link,Marka,Model,Puan,Site
"Monster Abra A5 V19.3.1 i7-12700H 8 GB 500 GB SSD 4 GB RTX3050Ti 144Hz 15.6"" W11H Dizüstü Bilgisayar",8 GB,Yok,500 GB,"15,6 inç",24.999,https://n11scdn.akamaized.net/a1/602_857/16/58/44/18/IMG-1475170770920090342.png,Intel i7 12700H,Windows 11 Home,https://www.n11.com/urun/monster-abra-a5-v1931-i7-12700h-8-gb-500-gb-ssd-4-gb-rtx3050ti-144hz-156-w11h-dizustu-bilgisayar-18715626?magaza=monster,Monster,Abra A5 V19.3.1,"0,0",N11
"Acer Nitro 5 AN517 NH.QFCEY.002 i7-11800H 16 GB 512 GB RTX3070 17.3"" Linux Dizüstü Bilgisayar",16 GB,Yok,512 GB,"17,3 inç",30.097,https://n11scdn.akamaized.net/a1/602_857/16/13/44/92/IMG-1122099427479130605.png,Intel i7 11800H,Linux,https://www.n11.com/urun/acer-nitro-5-an517-nhqfcey002-i7-11800h-16-gb-512-gb-rtx3070-173-linux-dizustu-bilgisayar-19014354?magaza=garajonline,Acer,NH.QFCEY.002,"5,0",N11
"Acer Extensa 15 EX215-54 NX.EGJEY.005 i5-1135G7 8 GB 512 GB SSD 15.6"" Free Dos FHD Dizüstü Bilgisayar",8 GB,Yok,512 GB,"15,6 inç",9.998,https://n11scdn.akamaized.net/a1/602_857/10/29/83/26/IMG-9209093689484705587.jpg,Intel i5 1135G7,FreeDos,https://www.n11.com/urun/acer-extensa-15-ex215-54-nxegjey005-i5-1135g7-8-gb-512-gb-ssd-156-free-dos-fhd-dizustu-bilgisayar-21752652?magaza=bozdanteknoloji,Acer,NX.EGJEY.005,"0,0",N11
"Acer Extensa 15 EX215-32 NX.EGNEY.003 Celeron N4500 4 GB 256 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",4 GB,Yok,256 GB,"15,6 inç",5.949,https://n11scdn.akamaized.net/a1/602_857/10/58/14/04/IMG-7480706725524772681.png,Intel Celeron N4500,FreeDos,https://www.n11.com/urun/acer-extensa-15-ex215-32-nxegney003-celeron-n4500-4-gb-256-gb-ssd-156-free-dos-dizustu-bilgisayar-20276009?magaza=toystower,Acer,NX.EGNEY.003,"5,0",N11
"Acer Aspire 3 A315-58 NX.ADDEY.004 i5-1135G7 8 GB 256 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",8 GB,Yok,256 GB,"15,6 inç",10.559,https://n11scdn.akamaized.net/a1/602_857/10/92/60/33/IMG-2623878831016660358.png,Intel i5 1135G7,FreeDos,https://www.n11.com/urun/acer-aspire-3-a315-58-nxaddey004-i5-1135g7-8-gb-256-gb-ssd-156-free-dos-dizustu-bilgisayar-20490177?magaza=galailetisim,Acer,NX.ADDEY.004,"0,0",N11
"Acer Nitro 5 AN517-41 NH.QAREY.001 R7-5800H 16 GB 512 GB SSD RTX3060 144Hz 17.3"" Dos Dizüstü Bilgisayar",16 GB,Yok,512 GB,"17,3 inç",26.799,https://n11scdn.akamaized.net/a1/602_857/07/48/20/49/IMG-6103030824605886694.jpg,Amd Ryzen 7 5800H,FreeDos,https://www.n11.com/urun/acer-nitro-5-an517-41-nhqarey001-r7-5800h-16-gb-512-gb-ssd-rtx3060-144hz-173-dos-dizustu-bilgisayar-2152264?magaza=teknoryabilisim,Acer,NH.QAREY.001,"5,0",N11
"Acer Gaming Aspire 7 A715-42G NH.QE5EY.006 R5-5500U 8 GB 256 GB SSD RTX3050 144Hz 15.6"" Dos FHD Dizüstü Bilgisayar",8 GB,Yok,256 GB,"15,6 inç",15.299,https://n11scdn.akamaized.net/a1/602_857/16/68/68/03/IMG-4891776961939011081.jpg,Amd Ryzen 5 5500U,FreeDos,https://www.n11.com/urun/acer-gaming-aspire-7-a715-42g-nhqe5ey006-r5-5500u-8-gb-256-gb-ssd-rtx3050-144hz-156-dos-fhd-dizustu-bilgisayar-7431911?magaza=websiniall,Acer,NH.QE5EY.006,"0,0",N11
"Acer Swift 3 SF314-43 NX.AB1EY.002 R5-5500U 8 GB 512 GB SSD 14"" Free Dos Dizüstü Bilgisayar",8 GB,Yok,512 GB,14 inç,9.599,https://n11scdn.akamaized.net/a1/602_857/05/34/36/93/IMG-7944996860038598815.jpg,Amd Ryzen 5 5500U,FreeDos,https://www.n11.com/urun/acer-swift-3-sf314-43-nxab1ey002-r5-5500u-8-gb-512-gb-ssd-14-free-dos-dizustu-bilgisayar-4937028?magaza=teknoryabilisim,Acer,NX.AB1EY.002,"5,0",N11
"Acer Nitro 5 AN515-45 NH.QBAEY.005 R5-5600H 8 GB 512 GB SSD RTX3050 15.6"" Dos Dizüstü Bilgisayar",8 GB,Yok,512 GB,"15,6 inç",16.799,https://n11scdn.akamaized.net/a1/602_857/13/97/32/33/IMG-2153638755436096376.png,Amd Ryzen 5 5600H,FreeDos,https://www.n11.com/urun/acer-nitro-5-an515-45-nhqbaey005-r5-5600h-8-gb-512-gb-ssd-rtx3050-156-dos-dizustu-bilgisayar-5092260?magaza=teknoryabilisim,Acer,NH.QBAEY.005,"0,0",N11
"Acer Nitro 5 AN515-45 NH.QBAEY.007 R7-5800H 16 GB 512 GB SSD RTX3050 15.6"" Dos Dizüstü Bilgisayar",16 GB,Yok,512 GB,"15,6 inç",20.999,https://n11scdn.akamaized.net/a1/602_857/13/36/16/46/IMG-9123406645992495905.jpg,Amd Ryzen 7 5800H,FreeDos,https://www.n11.com/urun/acer-nitro-5-an515-45-nhqbaey007-r7-5800h-16-gb-512-gb-ssd-rtx3050-156-dos-dizustu-bilgisayar-18597679?magaza=teknoryabilisim,Acer,NH.QBAEY.007,"4,5",N11
